"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"MAJ_RIVER"	"DESIGN"	"Designates major rivers in US (based on major rivers defined in Benke's Rivers of North America).  Benke identifies \"major rivers\" and \"additional rivers.\"    Includes entire river to its headwaters. \"NotMajorRiver\" if not a major river.  No missing values allowed."	"MajorRiver | Additional | NotMajorRiver"
"MIS_BAS_NM"	"DESIGN"	"The hydrologic basin name for streams in the Mississippi Basin derived from NHDPlus names.  \"Not Miss River Basin\" for streams not in the Mississippi Basin.  No missing values allowed."	"Ohio Region|Tennessee Region|Upper Mississippi Region|Lower Mississippi Region|Lower Missouri Region| Upper Missouri Region|Arkansas-Red-White Region|Not Mississippi River Basin"
"MIS_BASIN"	"DESIGN"	"The hydrologic basin code for streams in the Mississippi Basin derived from NHDPlus codes. For streams not in the Mississippi Basin value equal to \"NMRB\".  No missing values allowed."	"H05|H06|H07|H08|H10L|H10U|H11|NMRB"
"MISS_BASIN"	"DESIGN"	"The hydrologic basin name for streams in the Mississippi Basin, or NA for streams not in the Mississippi Basin"	"Text of 7 basin names or NA"
"MISS_BASIN"	"DESIGN"	"Within Mississippi Basin or outside, based on MIS_BAS_NM values"	"Mississippi_Basin|Not_Mississippi_Basin"
"NA_L1CODE"	"DESIGN"	"CEC North American Level I ecoregion code"	"Numeric 5 to 15 excluding 14 and 0 designating HI"
"NA_L1CODE"	"DESIGN"	"CEC North American Level I ecoregion code.  Values of 5 to 15 excluding 14 and 0 designating HI. No missing or \"blank\" values allowed."	
"NA_L1NAME"	"DESIGN"	"CEC North American Level I ecoregion name"	"Text"
"NA_L1NAME"	"DESIGN"	"CEC North American Level I ecoregion name.  No missing or \"blank\" values allowed."	"EASTERN TEMPERATE FORESTS | GREAT PLAINS | MARINE WEST COAST FOREST | MEDITERRANEAN CALIFORNIA | NORTH AMERICAN DESERTS | NORTHERN FORESTS | NORTHWESTERN FORESTED MOUNTAINS | SOUTHERN SEMI-ARID HIGHLANDS | TEMPERATE SIERRAS | TROPICAL WET FORESTS |"
"NA_L2CODE"	"DESIGN"	"CEC North American Level II ecoregion code"	"Alphanumeric: n.n where leading position is Level I code and following position is Level 2 designation"
"NA_L2CODE"	"DESIGN"	"CEC North American Level II ecoregion code.  Form is  n.n where leading is L1 and following is level 2.  No missing or \"blank\" values allowed."	
"NA_L2NAME"	"DESIGN"	"CEC North American Level II ecoregion name"	"Text"
"NA_L2NAME"	"DESIGN"	"CEC North American Level II ecoregion name.  No missing or \"blank\" values allowed."	
"NARS_NAME"	"DESIGN"	"Name of lake from field evaluation or GNIS NAME if the same"	"Text"
"NARS_NAME"	"DESIGN"	"Name of stream from field evaluation or GNIS NAME if the same. \"None\" if no name.  No missing or \"blank\" values allowed."	
