PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,SAMPLE_TYPE,FLAG,CAL_INST_ID,CAL_INST_MODEL,COND_STD1_DESC,COND_STD1_VALUE,COND_STD2_DESC,COND_STD2_VALUE,CONDUCTIVITY,CORRECTED,DO,DO_CALIBRATION_UNITS,DO_CALIBRATION_VALUE,DO_DISPLAYED_UNITS,DO_DISPLAYED_VALUE,DO_ELEVATION,DO_PRESSURE,FIELD_MEASUREMENT_REVIEW,LOCATION,OTH_LOCATION,PH,PH_STD1_DESC,PH_STD1_VALUE,PH_STD2_DESC,PH_STD2_VALUE,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE,TIME
1/26/2021,2014437,NRS18_MA_10631,8/19/2019,1,NAP,Region_01,MA,CALIB,,18D109286,YSI pro plus,1002,1000,,,,,,PERCENT,109.7,PERCENT,99.9,,758.4,,,,,7.01,7,,,,,,
1/26/2021,2014437,NRS18_MA_10631,8/19/2019,1,NAP,Region_01,MA,FIELDMEAS,,,,,,,,310.38,N,7.26,,,,,,,Y,A,,7.44,,,,,,,26.2,8:07
1/26/2021,2014438,NRS18_NE_11133,8/19/2019,1,SPL,Region_07,NE,CALIB,,323646-9,YSI ProDSS,1413,1413,,,,,,PERCENT,100,PERCENT,100,,634,,,,,7,7,10,10,21,21,,
1/26/2021,2014438,NRS18_NE_11133,8/19/2019,1,SPL,Region_07,NE,FIELDMEAS,,,,,,,,494.5,Y,7.85,,,,,,,Y,X,,8.08,,,,,,,20.7,11:42
1/26/2021,2014439,NRS18_VA_10009,8/19/2019,2,SAP,Region_03,VA,CALIB,,17E101232,YSI EXO1,1331,1331,,,,,,PERCENT,98.6,PERCENT,98.1,,749.2,,,,,7,7,10,10,,,,
1/26/2021,2014439,NRS18_VA_10009,8/19/2019,2,SAP,Region_03,VA,CALIB,TEMP_CALIBRATION_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,2014439,NRS18_VA_10009,8/19/2019,2,SAP,Region_03,VA,FIELDMEAS,,,,,,,,161,Y,12.16,,,,,,,Y,X,,8.52,,,,,,,28.32,13:08
1/26/2021,2014440,NRS18_WI_10009,8/19/2019,1,UMW,Region_07,WI,CALIB,,18E101074,YSI Professional Plus,1030,1031,,,,,,PERCENT,100,PERCENT,97.6,,745.3,,,,,7.03,7.05,10.06,10.07,25.1,25,,
1/26/2021,2014440,NRS18_WI_10009,8/19/2019,1,UMW,Region_07,WI,FIELDMEAS,,,,,,,,373.8,Y,8.75,,,,,,,Y,A,,7.94,,,,,,,24.1,11:18
1/26/2021,2014441,NRS18_SD_11910,8/19/2019,1,NPL,Region_08,SD,CALIB,,220869,YSI Pro DSS,KCl Standard,1409,,,,,,PERCENT,95.1,PERCENT,95,,722.9,,,,,7 Buffer,7,10 Buffer,10,25.2,24.9,,
