UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STATE,AG_ECO9,EPA_REG,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,RESULT,RESULT_UNITS,RL,MDL,ABSORBANCE,ABSORBANCE_UNITS,DATE_RECEIVED,DATE_ANALYZED,CONDITION_CODE,ANALYST,DILUTION_FACTOR,KIT_ID,NARS_FLAG
2013044,4/28/2021,NRS18_OR_10007,7/26/2018,1,OR,WMT,Region_10,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,101307,,ug/L,0.15,0.1,1.491,Std. Units,,3/20/2019,ok,KH,,JulyZ1,ND
2013045,4/28/2021,NRS18_CO_11725,7/25/2018,1,CO,XER,Region_08,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,101526,,ug/L,0.15,0.1,1.088,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013045,4/28/2021,NRS18_CO_11725,7/25/2018,1,CO,XER,Region_08,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,101526,,ug/L,0.1,0.05,1.345,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013045,4/28/2021,NRS18_CO_11725,7/25/2018,1,CO,XER,Region_08,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ1,101527,,ug/L,0.15,0.1,1.538,Std. Units,8/21/2018,3/20/2019,ok,KH,,JulyZ1,ND
2013046,4/28/2021,NRS18_IL_10033,7/26/2018,1,IL,TPL,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX3,104066,,ug/L,0.1,0.05,1.312,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013046,4/28/2021,NRS18_IL_10033,7/26/2018,1,IL,TPL,Region_05,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX3,104066,,ug/L,0.15,0.1,1.115,Std. Units,8/21/2018,1/29/2019,ok,KH,,JulyX3,ND
2013046,4/28/2021,NRS18_IL_10033,7/26/2018,1,IL,TPL,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,104067,,ug/L,0.15,0.1,1.075,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013047,4/28/2021,NRS18_MN_RF002,7/26/2018,1,MN,,Region_05,MICX,EnviroScience,WATER,REGULAR,MICX,JulyX6,891526,,ug/L,0.15,0.1,1.033,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2013047,4/28/2021,NRS18_MN_RF002,7/26/2018,1,MN,,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX6,891526,,ug/L,0.1,0.05,0.994,Std. Units,8/10/2018,1/31/2019,ok,KH,,JulyX6,ND
2013047,4/28/2021,NRS18_MN_RF002,7/26/2018,1,MN,,Region_05,MICZ,EnviroScience,WATER,REGULAR,MICZ,JulyZ2,891527,,ug/L,0.15,0.1,1.043,Std. Units,8/10/2018,2/5/2019,ok,KH,,JulyZ2,ND
2013048,4/28/2021,NRS18_OH_10037,7/26/2018,2,OH,SAP,Region_05,MICX,EnviroScience,WATER,REGULAR,CYLSPER,JulyX7,102266,,ug/L,0.1,0.05,0.967,Std. Units,8/21/2018,1/31/2019,ok,KH,,JulyX7,ND
